mode,submode,n,m,T,init_len_som_mean,init_len_som_std,final_len_som_mean,final_len_som_std,time_som_total_mean,time_som_total_std,baseline_len_mean,baseline_len_std,baseline_time_mean,baseline_time_std,optimum,deviation_mean,deviation_std
synthetic,ring,200,400,100,91.8177091237548,2.318890004824322,10.27690227041969,0.40544899809078044,3.9608639240264893,0.5424184119971487,10.034818627554614,0.16691148120192345,9.428120422363282,1.5013034645532184,,,
synthetic,ring,200,400,200,91.80119573459224,1.9609539346322429,10.576790409190576,0.3530984587972534,3.724106788635254,0.49595506163286746,10.034818627554614,0.16691148120192345,9.460632419586181,1.569369012983207,,,
synthetic,ring,200,600,100,92.36935503828097,1.7090730316119853,10.408270287651014,0.25451661772133816,3.593553352355957,0.3544960509595801,10.034818627554614,0.16691148120192345,9.496579313278199,1.517551784550649,,,
synthetic,ring,200,600,200,91.83269015116784,1.4225737110044154,10.466155234340018,0.28344668132875794,4.453841686248779,0.7643733000440288,10.034818627554614,0.16691148120192345,9.50018219947815,1.4875222239983967,,,
