mode,submode,n,m,T,init_len_som_mean,init_len_som_std,final_len_som_mean,final_len_som_std,time_som_total_mean,time_som_total_std,baseline_len_mean,baseline_len_std,baseline_time_mean,baseline_time_std,optimum,deviation_mean,deviation_std
tsplib,berlin52.tsp,52,104,200,22617.425661733683,493.2010587819718,8321.745920659245,125.95879591889646,0.06478691101074219,0.01638175657075437,7990.1502913194445,0.0,0.0599853515625,0.0007312866715240814,,,
tsplib,berlin52.tsp,52,104,500,22507.463391058456,979.9067964037342,8278.98936159025,315.6402918251755,0.09545502662658692,0.006646426995197683,7990.1502913194445,0.0,0.0594517707824707,0.000661379786439417,,,
tsplib,berlin52.tsp,52,156,200,22761.936884512448,537.1249645626984,8290.217564895918,400.8633320548359,0.07099943161010742,0.010033069858801544,7990.1502913194445,0.0,0.05921087265014648,0.000993544581298916,,,
tsplib,berlin52.tsp,52,156,500,22984.64068635914,902.9849534744875,8321.43689469651,257.66679879704986,0.09634251594543457,0.010140766910050912,7990.1502913194445,0.0,0.0606590747833252,0.0008531960774100867,,,
